1707,1455,19929,128,234,경기70사1639,3
1701,1307,19929,129,1850,경기74아3766,3
1740,1504,19929,130,234,경기70사1163,4
1825,1704,19929,131,234,경기76자3591,3
1746,1328,19929,132,1850,경기77아5613,3
1749,1510,19929,133,234,경기70사1665,3
1956,1823,19928,134,234,경기78아7098,3
1749,1519,19929,135,234,경기70사1123,4
1746,1524,19929,136,234,경기70사1132,3
1752,1343,19929,137,1850,경기74아3718,3
1752,1530,19929,138,234,경기70사1678,4
1801,1536,19929,139,234,경기76아1297,3
2031,1752,19929,140,234,경기76아7673,3
1801,1543,19929,141,234,경기70사1647,4
2035,1908,19928,142,234,경기72아7041,3
1810,1404,19929,143,1850,경기74아3721,3
1828,1558,19929,144,234,경기70사1125,3
1843,1604,19929,145,234,경기76아1298,3
1837,1422,19929,146,1850,경기72바6091,3
1849,1610,19929,147,234,경기70사1147,3
1852,1619,19929,148,234,경기70사1664,3
2019,1749,19929,149,234,경기78아8583,3
1910,1628,19929,150,234,경기70사1677,4
1913,1634,19929,151,234,경기70사1663,3
1855,1443,19929,152,1850,경기72바6001,3
1910,1640,19929,153,234,경기70사1155,3
1931,1646,19929,154,234,경기70사1119,3
1949,1652,19929,155,234,경기70사1112,4
1928,1504,19929,156,1850,경기72바6119,3
1940,1701,19929,157,234,경기70사1641,3
2019,1524,19929,158,1850,경기72바6003,3
1955,1707,19929,159,234,경기70사1649,4
1958,1716,19929,160,234,경기70사1640,3
2004,1722,19929,161,234,경기70사1676,4
2040,1607,19929,162,1850,경기72바6154,3
2004,1731,19929,163,234,경기70사1694,3
2058,1622,19929,164,1850,경기77아1049,3
2031,1758,19929,165,234,경기70사1646,4
2101,1643,19929,166,1850,경기72바1305,3
2101,1825,19929,167,234,경기70사1665,3
2116,1704,19929,168,1850,경기72바1108,3
2125,1855,19929,169,234,경기70사1678,4
2134,1722,19929,170,1850,경기72바1281,3
2207,1940,19929,171,234,경기70사1147,3
2201,1743,19929,172,1850,경기74아3720,3
1755,1752,19929,173,23,경기73아1477,3
2207,1807,19929,174,1850,경기74아3766,3
2219,1958,19929,175,234,경기70사1663,3
2225,1822,19929,176,1850,경기77아5613,3
2240,2019,19929,177,234,경기70사1112,4
2316,2058,19929,178,234,경기70사1640,3
2237,1849,19929,179,1850,경기74아3718,3
2243,2240,19929,180,23,경기73아1477,3
2334,1937,19929,181,1850,경기72바6091,3
2031,1749,19929,182,234,경기70사1693,3
2358,2143,19929,183,234,경기70사1646,4
2337,1958,19929,184,1850,경기72바6001,3
1431,1210,19929,185,234,경기70사1108,3
2055,1816,19929,186,234,경기70사1163,4
1,2019,19929,187,1850,경기72바6119,3
1,2158,19929,188,234,경기70사1665,3
2101,1834,19929,189,234,경기70사1123,4
37,2037,19929,190,1850,경기72바6003,3
2116,1843,19929,191,234,경기70사1132,3
34,2219,19929,192,234,경기70사1678,4
43,2058,19929,193,1850,경기77아6296,3
2131,1904,19929,194,234,경기76아1297,3
